arch,scale,comp_time,depth,swap,cp
N*N,2,0.2731790542602539,10,2,6
N*N,3,0.01522517204284668,32,15,36
N*N,4,0.037732839584350586,85,71,120
N*N,5,0.07857394218444824,140,186,300
N*N,6,0.14293694496154785,235,403,630
N*N,7,0.2592160701751709,436,851,1176
N*N,8,0.4484899044036865,566,1436,2016
N*N,9,0.8253910541534424,654,2411,3240
N*N,10,1.2618350982666016,1441,4163,4950
N*N,11,1.9456231594085693,1506,5976,7260
N*N,12,3.2237281799316406,2226,8984,10296
N*N,13,5.931074857711792,2958,12742,14196
N*N,14,6.725390672683716,3961,18249,19110
N*N,15,8.965443134307861,3956,24921,25200
N*N,16,12.49203610420227,7031,33107,32640
N*N,17,17.144011974334717,6856,42175,41616
N*N,18,21.184111833572388,11468,53631,52326
N*N,19,28.90539789199829,9385,68252,64980
N*N,20,40.32125806808472,14923,88888,79800
N*N,21,44.12852096557617,17361,111929,97020
N*N,22,54.15143918991089,20809,132024,116886
N*N,23,67.09093523025513,25934,161068,139656
N*N,24,80.85559296607971,28314,192553,165600
N*N,25,98.56384205818176,32309,227611,195000
N*N,26,117.60596084594727,35934,271204,228150
N*N,27,141.27634477615356,50740,314459,265356
N*N,28,160.82395577430725,49561,376686,306936
N*N,29,189.87048196792603,51748,423287,353220
N*N,30,219.1708950996399,64405,492394,404550
N*N,31,287.90797686576843,67063,564656,461280
N*N,32,313.09865713119507,71148,655109,523776
N*N,33,356.22553515434265,77254,744923,592416
N*N,34,426.69364309310913,86400,852405,667590
N*N,35,474.8536310195923,97653,955255,749700
N*N,36,548.7150168418884,98089,1078351,839160
N*N,37,638.4489078521729,128320,1198793,936396
N*N,38,703.7138559818268,148802,1338505,1041846
N*N,39,813.6385862827301,155871,1519152,1155960
N*N,40,966.5458130836487,149407,1643157,1279200
